"Church","Village"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"3. Evangelical","Crique Sarco"
"1. Catholic","Crique Sarco"
"3. Evangelical","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"3. Evangelical","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"7. Other","Crique Sarco"
"1. Catholic","Crique Sarco"
"5. No Church","Crique Sarco"
"5. No Church","Lucky Strike"
"5. No Church","Crique Sarco"
"5. No Church","Crique Sarco"
"5. No Church","Crique Sarco"
"5. No Church","Crique Sarco"
"5. No Church","Crique Sarco"
"6. Don't know","Crique Sarco"
"7. Other","Crique Sarco"
"4. Mennonite","Crique Sarco"
"7. Other","Crique Sarco"
"4. Mennonite","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"4. Mennonite","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"2. Baptist","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"2. Baptist","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"3. Evangelical","Crique Sarco"
"2. Baptist","Crique Sarco"
"6. Don't know","Crique Sarco"
"7. Other","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"5. No Church","Crique Sarco"
"3. Evangelical","Crique Sarco"
"7. Other","Crique Sarco"
"3. Evangelical","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"7. Other","Crique Sarco"
"7. Other","Crique Sarco"
"7. Other","Crique Sarco"
"5. No Church","Lucky Strike"
"1. Catholic","Crique Sarco"
"7. Other","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"5. No Church","Lucky Strike"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"7. Other","Unknown"
"2. Baptist","Crique Sarco"
"7. Other","Crique Sarco"
"1. Catholic","Crique Sarco"
"4. Mennonite","Crique Sarco"
"2. Baptist","Crique Sarco"
"3. Evangelical","Crique Sarco"
"7. Other","Graham Creek"
"2. Baptist","Crique Sarco"
"4. Mennonite","Crique Sarco"
"4. Mennonite","Crique Sarco"
"7. Other","Crique Sarco"
"7. Other","Machikilha"
"1. Catholic","Crique Sarco"
"1. Catholic","Crique Sarco"
"7. Other","Unknown"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"4. Mennonite","Crique Sarco"
"4. Mennonite","Crique Sarco"
"1. Catholic","Crique Sarco"
"4. Mennonite","Crique Sarco"
"7. Other","Unknown"
"1. Catholic","Crique Sarco"
"4. Mennonite","Crique Sarco"
"5. No Church","Lucky Strike"
"5. No Church","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"7. Other","Unknown"
"7. Other","Unknown"
"7. Other","Graham Creek"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"7. Other","Crique Sarco"
"2. Baptist","Crique Sarco"
"1. Catholic","Crique Sarco"
"2. Baptist","Crique Sarco"
"2. Baptist","Crique Sarco"
"7. Other","Unknown"
"7. Other","Unknown"
"7. Other","Crique Sarco"
"7. Other","Unknown"
"6. Don't know","Crique Sarco"
"6. Don't know","Crique Sarco"
"7. Other","Unknown"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Unknown"
"7. Other","Graham Creek"
"7. Other","Graham Creek"
"7. Other","Unknown"
"7. Other","Crique Sarco"
