"Wealth","Pasture"
-1.25908307908732,0
-0.0548022775678945,0
0.674428811502792,0
0.0595957725116336,0
-0.618638842888053,0
-0.228658560139386,0
3.51893529981778,1
-0.199617475253847,0
-0.199617475253847,0
-1.14667723921564,0
-0.205635182376522,0
0.18639892532869,0
-0.845483809338392,0
1.45137025431401,1
-0.666985882365111,0
0.42803143146615,0
0.42803143146615,0
0.705913948086619,NA
0.199933631792319,1
0.849312006552555,1
-0.321717368920416,NA
-0.461110468721091,0
0.70663278682141,0
0.790860148289299,1
-0.583292515385923,0
0.70663278682141,0
-0.894015693061538,1
1.46636317649678,1
0.94393172230056,NA
0.70663278682141,NA
0.166579514498036,0
-0.941459049557716,0
-1.03320341036656,NA
0.166579514498036,0
-0.124570711341711,0
0.196308630744018,NA
0.192683629695717,1
-0.301343425351495,0
-1.15487200079225,0
-0.301343425351495,0
-0.301343425351495,0
-0.301343425351495,0
-0.301343425351495,0
-1.21560360475727,0
0.710309133493624,1
-0.618987993130666,0
-0.428043886920725,0
-1.23232173990355,0
-1.10280753814385,0
-1.10280753814385,0
-0.962161605119685,0
-0.962161605119685,0
0.42803143146615,NA
-0.0575544030096641,0
4.55597313512579,1
0.0282338654251992,1
0.42803143146615,0
-1.07060356282523,0
0.166579514498036,NA
0.40011995030671,1
0.42803143146615,0
-0.618638842888053,0
-0.0548022775678945,0
-0.277662823602537,0
0.496095190526034,0
-0.925521367894931,0
-1.0516056819772,0
-1.05421403967201,0
0.496095190526034,0
0.496095190526034,0
-0.772347102635843,0
-0.669614778309488,NA
1.08377666359167,0
1.94110481520204,1
-0.845483809338392,0
1.08416689033342,1
-0.392471638673374,NA
-1.03351148411004,0
1.08416689033342,1
1.08416689033342,1
0.868823343639728,1
0.199933631792319,1
0.192683629695717,1
0.192683629695717,1
0.0595957725116336,NA
-0.532008506221007,0
0.166579514498036,NA
-0.58433996611376,0
0.166579514498036,0
-0.442831426607845,0
-0.519131023743473,0
-1.6920293799269,0
1.39509545050469,1
-0.356098398692971,0
-0.19653673781903,0
0.42803143146615,NA
-0.199617475253847,NA
-0.585264187344205,0
-0.941643893803805,0
-0.0548022775678945,NA
3.15175247408676,1
1.01565128978309,0
2.45809363326342,1
-0.277662823602537,NA
0.705913948086619,1
-0.356098398692971,0
-0.462568684440238,0
-0.223790994992375,0
-0.8705610120578,0
-0.124570711341711,NA
0.42803143146615,0
0.127885452316738,NA
-0.321717368920416,NA
-0.583292515385923,0
-0.223790994992375,NA
0.127885452316738,0
1.39509545050469,1
-0.338907883806694,NA
-0.0548022775678945,NA
-0.199617475253847,NA
-1.05203698521807,0
-0.903997282350345,NA
2.77783310249827,1
2.77783310249827,1
-0.198077106536438,NA
-0.555771260968226,NA
-0.321717368920416,NA
-0.552135990795143,NA
1.94110481520204,1
2.45809363326342,1
-0.205635182376522,NA
-0.253160691870961,NA
-0.277662823602537,NA
-0.301343425351495,NA
1.46636317649678,1
1.46636317649678,1
-0.22622477756588,NA
-1.36358169287631,0
-0.317712410255155,0
0.496095190526034,NA
-0.955322368014392,0
-1.14285712479647,0
-0.791735210225623,0
-1.03749590452574,0
-0.599168582300012,0
-0.56495185852398,0
-0.791735210225623,0
-1.14285712479647,0
-0.706296092033372,0
-1.02774023598215,0
-0.301343425351495,NA
-0.706296092033372,0
-1.13447751897377,0
-0.301343425351495,NA
0.849312006552555,1
